symbol,n_obs,observed_mi,null_p95_mi,p_value,significant_05,NORMAL_n,NORMAL_mean,NORMAL_std,HIGH_n,HIGH_mean,HIGH_std,SHOCK_n,SHOCK_mean,SHOCK_std,LOW_n,LOW_mean,LOW_std
AAL,1454,0.004319840223489389,0.0036799114382145676,0.015,True,32,0.002569028325394601,0.02911797356915191,906.0,-0.0007210965743893671,0.02750457750893288,516,-0.0007769967941101003,0.05057444324383762,,,
AAPL,2232,0.0036142938030715582,0.002219380259310578,0.005,True,564,-0.0019305175427173525,0.0606632762198662,1556.0,0.002044059071422504,0.07926264013415388,112,0.0014004436747214108,0.26381883297203584,,,
ABBV,1587,0.0038791033890822734,0.0026293502725837064,0.005,True,664,0.0008110948845825734,0.013909608892982034,893.0,0.00024213814473594806,0.01645262844687068,30,0.002813266565746571,0.026771142212449552,,,
AI,1590,0.017701211814617056,0.003010073282581331,0.0,True,31,0.0046045086332339065,0.017113948578963957,373.0,0.00721125113420264,0.1870797881751052,1186,-0.0020116494256936634,0.05881980579647198,,,
AMC,1622,0.028036217858729912,0.0026559649364321456,0.0,True,30,-0.0019157117971492813,0.032043140428392666,346.0,-0.0017819381896846476,0.04083288189212147,1246,-0.001048198817018772,0.10229650159988897,,,
AMD,2440,0.0038031386802543973,0.00171474434595073,0.0,True,37,-0.014437164464513848,0.052318115843736315,1019.0,0.002745794123672315,0.03204675177867481,1384,0.0014562256591945232,0.0420362472032107,,,
AMZN,2610,0.007222401313473514,0.0018547010867989986,0.0,True,585,0.00038762199443162737,0.016604902407017227,1777.0,0.0006283178636512663,0.10339430903047585,248,0.0019270077740683009,0.3822329907204939,,,
ARM,686,0.009809936322552636,0.008002365919829675,0.02,True,30,-0.009330416040514914,0.04228769644532336,217.0,-0.00041451420329296845,0.0316039136824367,439,0.0023203288683108217,0.04680206457462011,,,
AVGO,1545,0.007943651432170795,0.003096932247946832,0.0,True,148,0.002114078042189621,0.01478524915693236,1134.0,0.0010586344127937195,0.024691472826364372,263,-0.005771070876131648,0.14647214355952823,,,
BAC,2482,0.008287301194637903,0.0016026295109677366,0.0,True,596,-0.0008212756364219786,0.015587569128529,1775.0,0.0007586016571517465,0.01799906458846176,111,0.0015612921103962776,0.04255280752686568,,,
CCL,1478,0.009718314170120607,0.0030405150977669704,0.0,True,30,-0.006201047055951614,0.02393219459872307,695.0,-0.001084734233805648,0.02964694064901332,753,0.00029814264799247586,0.05643816897898383,,,
COIN,1195,0.0015558699433546944,0.0035583673036835187,0.45,False,30,-0.011164498576744227,0.04844779325107527,86.0,-0.004097762438085123,0.04488680720741461,1079,0.00016359305209606758,0.057607388020663536,,,
COST,1604,0.008608606638219718,0.0033825353539362973,0.0,True,1005,0.0009821050693870357,0.011573044057006071,543.0,0.00014891826025440185,0.017401526103158815,56,0.002512741788037842,0.023878144922416276,,,
CRM,1588,0.002314383031224304,0.0029844402234626977,0.13,False,138,0.0011734188739277113,0.01672898370679897,1240.0,-0.0002785805755773066,0.023196440614138815,210,0.0016141720397743165,0.02795175269065715,,,
CVX,2606,0.015629392926810197,0.001553852798010244,0.0,True,1240,0.0001783835246896991,0.012373416792061206,1270.0,0.0003168852435626604,0.018931901994915918,96,0.0019085315288831968,0.04311647638103336,,,
C,1615,0.00752513427216224,0.0030719412786968723,0.0,True,281,-5.237815473923627e-06,0.015615982467697215,1204.0,0.00013676676967060232,0.01978687484934288,130,0.0012127950710329332,0.04759698574494157,,,
DAL,1598,0.006300663987520681,0.0031166386950766903,0.0,True,46,0.002284062935956718,0.016452137763596643,1307.0,-5.925252752586244e-05,0.025214411907479358,245,0.00028537210201406575,0.050492955073860056,,,
DDOG,1604,0.007942737972465568,0.003145976609679609,0.005,True,30,0.007903325426933646,0.03696065234593848,705.0,0.0013666965588670819,0.03236069821478192,869,6.443694016347037e-05,0.03846362131185045,,,
F,1463,0.011000932927345726,0.0029405077292213267,0.0,True,51,-0.001026104320820816,0.014912287822331597,1203.0,0.0004850515699067676,0.02445084262946002,209,-0.0014584597657895566,0.03482674965932765,,,
GME,1622,0.014289010465678941,0.0028047644615768535,0.0,True,32,-0.01441345531432204,0.03595148831806114,392.0,0.0017901422102746189,0.034612733450977845,1198,0.0008823480182962058,0.10816418274686601,,,
